"Ligne de données d'analyse"|Client|Groupe du produit|CCY Groupe|Secteur|Région|Taille|Acheté/Vendu|ID Région|ID produit
12|598|Outrights|G10|Bank|AMERICAS|57443741.2002105|1||5
39|199|Outrights|LATAM|Real Money|AMERICAS|47219462.415872|1||5
56|598|Outrights|G10|Real Money|AMERICAS|110745767.421969|-1||5
70|1049|Outrights|LATAM|Bank|AMERICAS|163228939.922199|1||5
54|453|Outrights|G10|Bank|ASPAC|103248171.350508|1||5
76|1073|Outrights|G10|Real Money|ASPAC|185721728.136583|1||5
81|719|Outrights|G10|Bank|ASPAC|47219462.415872|1||5
5|294|Outrights|G10|Real Money|EMEA|47219462.415872|1||5
14|719|Outrights|G10|Bank|EMEA|78962582.5947768|-1||5
23|1073|Outrights|G10|Bank|EMEA|88022499.9776014|1||5
28|736|Outrights|LATAM|Real Money|EMEA|47219462.415872|1||5
37|719|Outrights|LATAM|Bank|EMEA|5592521.98927644|-1||5
44|438|Outrights|G10|Hedge Fund|EMEA|74601207.2795048|1||5
63|796|Outrights|OTHER|Bank|EMEA|136987353.672084|-1||5
